polygon_id,longitude,latitude,phase_angle,incidence_angle,emission_angle,pixel_x,pixel_y,brightness_temperature,local_solar_time,local_solar_time_normal_vector
2049,114.129,43.508,9.517,89.253,80.232,213,76,259.46,19.121,18.189
2177,113.296,43.737,9.539,55.562,47.736,213,76,259.46,19.065,15.575
2178,113.173,44.259,9.564,50.623,44.681,212,75,266.51,19.057,14.735
2179,113.548,44.908,9.567,43.54,34.633,212,74,270.44,19.082,15.144
2180,114.179,45.066,9.553,80.838,72.629,213,74,252.29,19.124,17.407
2181,114.387,45.801,9.573,80.958,72.792,212,73,267.65,19.138,17.406
2182,115.256,45.973,9.57,87.624,79.578,212,73,267.65,19.196,17.889
2183,115.844,46.664,9.592,90.875,83.806,212,72,231.98,19.235,17.999
2184,115.517,47.211,9.616,89.795,82.955,211,72,270.33,19.213,17.864
2187,116.919,49.063,9.71,88.25,81.244,209,71,263.17,19.307,17.749
2306,112.47,44.5,9.596,63.883,56.544,212,75,266.51,19.01,15.944
2307,112.675,45.273,9.621,65.15,58.479,211,75,260.5,19.024,15.818
2308,113.241,45.452,9.603,29.82,23.16,212,74,270.44,19.062,13.938
2309,113.731,46.039,9.604,43.937,42.829,212,73,267.65,19.094,12.989
2310,113.682,46.466,9.623,59.97,50.532,211,73,275.31,19.091,16.342
2311,114.388,47.063,9.624,67.171,61.427,211,72,270.33,19.138,15.669
2312,114.085,47.599,9.652,75.741,68.232,210,72,272.69,19.118,16.85
2313,114.417,48.41,9.687,85.083,81.356,210,71,258.08,19.14,16.392
2314,115.191,48.65,9.697,91.89,88.563,210,71,258.08,19.192,17.231
2315,115.257,49.533,9.741,80.139,72.56,209,70,232.41,19.196,17.196
2316,116.167,49.73,9.741,91.382,84.122,209,70,232.41,19.257,18.067
2433,110.162,44.564,9.616,90.168,83.66,211,75,260.5,18.856,17.818
2436,112.188,45.833,9.653,68.383,61.196,211,74,268.61,18.991,16.2
2437,112.708,46.441,9.654,60.283,50.805,211,73,275.31,19.026,16.364
2438,112.57,46.946,9.674,47.711,42.989,210,73,271.12,19.017,14.244
2439,113.239,47.504,9.671,42.319,36.134,210,72,272.69,19.062,14.418
2440,113.014,48.138,9.706,46.163,38.669,209,72,267.33,19.047,14.937
2441,113.593,48.751,9.72,67.244,64.601,209,71,263.17,19.085,14.242
2442,113.354,49.398,9.758,78.476,71.582,208,71,268.23,19.069,16.884
2443,114.241,49.94,9.768,76.116,68.83,208,70,255.35,19.128,16.81
2444,114.055,50.545,9.792,78.192,70.052,208,70,255.35,19.116,17.178
2445,114.932,51.085,9.802,80.904,73.209,207,69,263.22,19.174,17.282
2446,114.483,51.771,9.833,78.25,71.118,207,68,236.87,19.144,16.938
2561,108.591,44.868,9.641,91.991,85.593,211,75,260.5,18.752,17.981
2562,109.42,45.181,9.648,89.617,83.149,211,75,260.5,18.807,17.755
2563,109.618,46.04,9.681,87.559,80.32,210,74,265.67,18.82,17.713
2565,110.862,47.099,9.709,91.859,83.15,209,73,268.17,18.903,18.299
2566,111.758,47.31,9.706,81.424,72.577,209,73,268.17,18.963,17.571
2567,112.11,48.081,9.724,84.619,76.415,209,72,267.33,18.986,17.668
2568,111.569,48.678,9.747,86.166,77.752,209,72,267.33,18.95,17.825
2569,112.227,49.381,9.767,91.592,84.412,208,71,268.23,18.994,18.069
2571,112.052,50.793,9.819,82.366,73.618,207,70,261.65,18.983,17.611
2572,112.934,50.971,9.817,87.232,78.596,207,69,263.22,19.041,17.944
2573,113.289,51.764,9.842,93.161,85.762,207,68,236.87,19.065,18.24
2574,112.726,52.39,9.868,95.035,87.305,206,68,260.3,19.027,18.437
2689,106.992,45.174,9.666,88.623,81.866,210,75,271.66,18.645,17.714
2690,107.803,45.49,9.673,94.574,87.982,210,75,271.66,18.699,18.271
2691,107.966,46.403,9.707,90.945,83.281,209,74,272.69,18.71,18.074
2692,108.954,46.637,9.708,91.378,83.721,209,74,272.69,18.776,18.111
2693,109.183,47.514,9.733,87.477,78.952,209,73,268.17,18.791,17.94
2694,110.083,47.748,9.732,88.264,79.756,209,73,268.17,18.851,17.997
2695,110.435,48.556,9.753,88.559,80.109,208,72,265.06,18.875,18.01
2696,109.855,49.122,9.772,93.266,84.31,208,71,268.23,18.836,18.438
2698,109.902,50.425,9.821,94.419,88.496,207,70,261.65,18.839,18.188
2699,110.189,51.223,9.847,83.722,74.586,206,69,265.73,18.858,17.786
2700,111.093,51.45,9.845,88.713,79.692,207,69,263.22,18.919,18.117
2701,111.407,52.254,9.869,93.723,86.009,206,68,260.3,18.939,18.324
2702,110.812,52.847,9.898,83.713,77.704,205,67,248.42,18.9,17.109
2703,111.495,53.623,9.929,84.891,79.336,205,67,248.42,18.945,17.101
2704,110.804,54.23,9.962,91.301,84.609,204,66,267.46,18.899,17.976
2705,111.559,54.979,9.992,92.602,86.365,203,66,290.55,18.949,18.04
2817,105.353,45.42,9.69,89.422,82.111,210,74,265.67,18.536,17.886
2818,106.16,45.79,9.697,94.533,87.378,210,74,265.67,18.59,18.328
2820,107.254,46.986,9.731,94.427,86.428,209,73,268.17,18.663,18.408
2821,107.436,47.855,9.758,93.5,85.227,208,72,265.06,18.675,18.364
2822,108.377,48.147,9.759,85.441,77.039,208,72,265.06,18.738,17.763
2823,108.696,48.948,9.777,83.421,74.517,208,71,268.23,18.759,17.719
2824,108.127,49.517,9.802,71.441,64.12,207,71,262.77,18.721,16.462
2825,108.715,50.264,9.824,76.978,71.331,207,70,261.65,18.76,16.372
2826,108.111,50.861,9.855,89.55,81.639,206,70,266.77,18.72,17.998
2827,108.935,51.506,9.866,83.204,74.074,206,69,265.73,18.775,17.746
2828,108.604,52.06,9.887,76.38,68.923,206,68,260.3,18.753,16.868
2829,109.537,52.726,9.904,82.678,76.679,205,68,259.49,18.815,17.007
2830,108.945,53.39,9.938,89.704,82.271,205,67,248.42,18.775,17.941
2831,109.529,54.116,9.964,93.037,86.338,204,67,282.11,18.814,18.143
2832,108.791,54.76,9.995,97.011,89.614,203,66,290.55,18.765,18.581
2945,103.701,45.638,9.71,83.654,75.096,209,74,272.69,18.426,17.661
2949,105.649,48.137,9.779,94.93,86.881,208,72,265.06,18.556,18.454
2950,106.587,48.455,9.783,91.06,82.947,208,72,265.06,18.618,18.149
2951,106.952,49.318,9.809,92.385,84.65,207,71,262.77,18.642,18.207
2952,106.352,49.886,9.833,93.652,85.734,207,70,261.65,18.602,18.335
2953,106.92,50.681,9.857,93.582,85.647,206,70,266.77,18.64,18.331
2954,106.204,51.238,9.881,93.361,85.454,206,69,265.73,18.593,18.31
2955,106.408,52.11,9.91,93.428,85.54,205,68,259.49,18.606,18.313
2956,107.358,52.398,9.913,85.778,77.696,205,68,259.49,18.669,17.727
2957,107.646,53.261,9.942,88.225,80.805,205,67,248.42,18.689,17.811
2958,106.948,53.855,9.969,91.84,83.862,204,67,282.11,18.642,18.194
2959,107.508,54.628,9.996,94.003,86.605,203,66,290.55,18.679,18.311
2960,106.687,55.22,10.025,92.74,85.531,203,65,244.44,18.625,18.177
2961,107.34,55.988,10.052,92.213,84.857,202,65,269.34,18.668,18.148
2962,106.64,56.569,10.078,96.638,88.477,202,64,227.55,18.622,18.603
2964,106.727,57.89,10.13,96.047,88.596,201,63,254.44,18.628,18.499
3073,102.038,45.857,9.737,88.505,80.319,209,74,272.69,18.315,17.954
3074,102.81,46.234,9.738,79.736,71.348,209,74,272.69,18.366,17.334
3075,102.811,47.167,9.766,82.575,75.086,208,73,273.47,18.366,17.346
3076,103.752,47.492,9.768,94.881,87.538,208,72,265.06,18.429,18.38
3077,103.859,48.436,9.801,92.396,84.362,207,72,272.59,18.436,18.245
3078,104.782,48.761,9.805,94.223,86.221,207,71,262.77,18.498,18.391
3079,105.116,49.647,9.833,94.5,86.565,207,71,262.77,18.52,18.407
3080,104.495,50.229,9.856,95.414,87.348,206,70,266.77,18.479,18.496
3081,105.016,51.024,9.88,96.058,88.14,206,69,265.73,18.513,18.536
3083,104.435,52.48,9.934,97.985,89.894,205,68,259.49,18.475,18.71
3084,105.376,52.786,9.94,97.164,89.055,205,68,259.49,18.538,18.643
3085,105.623,53.668,9.97,97.507,89.469,204,67,282.11,18.554,18.667
3086,104.897,54.278,9.998,92.537,85.29,203,66,290.55,18.506,18.163
3087,105.4,55.056,10.026,92.677,85.465,203,66,290.55,18.539,18.171
3089,105.136,56.409,10.08,94.554,86.431,202,64,227.55,18.521,18.43
3090,104.418,57.009,10.107,93.457,85.534,201,64,262.74,18.473,18.319
3091,105.176,57.743,10.132,95.772,88.325,201,63,254.44,18.524,18.474
3099,105.76,62.928,10.353,90.791,83.264,196,58,266.96,18.563,18.047
3100,105.071,63.547,10.384,91.284,83.572,196,57,236.67,18.517,18.112
3107,109.795,67.525,10.557,80.278,69.94,192,54,261.71,18.832,17.737
3202,101.109,46.444,9.763,92.413,84.041,208,73,273.47,18.253,18.288
3203,101.071,47.421,9.793,93.76,85.733,208,72,265.06,18.25,18.354
3204,102.003,47.769,9.796,89.469,81.4,208,72,265.06,18.312,18.012
3205,102.062,48.737,9.826,89.952,82.007,207,71,262.77,18.316,18.032
3206,102.976,49.08,9.829,90.783,82.855,207,71,262.77,18.377,18.098
3207,103.275,49.988,9.857,90.49,82.495,206,70,266.77,18.397,18.084
3208,102.628,50.552,9.879,96.532,87.781,206,69,265.73,18.354,18.649
3210,102.331,51.919,9.928,90.193,83.321,205,68,259.49,18.334,17.893
3212,103.372,53.154,9.965,92.782,84.991,204,67,282.11,18.404,18.248
3216,102.367,56.043,10.083,94.906,87.063,202,64,227.55,18.337,18.432
3217,102.922,56.833,10.11,94.47,86.524,201,64,262.74,18.374,18.405
3218,102.146,57.402,10.137,94.239,86.332,201,63,254.44,18.322,18.382
3219,102.879,58.168,10.16,92.132,83.758,200,62,260.24,18.371,18.263
3220,102.05,58.739,10.189,87.568,79.986,200,62,260.24,18.316,17.784
3221,102.749,59.515,10.218,93.426,87.434,199,61,276.96,18.362,18.103
3227,103.022,63.497,10.394,94.867,86.991,196,57,236.67,18.381,18.43
3235,106.826,68.207,10.601,93.037,84.081,192,53,261.96,18.634,18.384
3236,108.572,68.158,10.587,63.525,54.437,192,53,261.96,18.75,16.349
3237,109.961,68.607,10.601,86.992,82.094,192,52,249.82,18.843,17.226
3238,109.753,69.233,10.639,86.413,82.67,191,52,260.26,18.829,16.81
3330,99.394,46.621,9.783,92.711,84.311,208,73,273.47,18.139,18.314
3331,99.3,47.588,9.813,94.411,86.568,207,72,272.59,18.132,18.387
3332,100.214,47.992,9.819,91.773,83.895,207,72,272.59,18.193,18.171
3333,100.219,48.953,9.851,91.913,84.084,206,71,272.74,18.194,18.176
3334,101.134,49.35,9.856,88.965,81.083,206,71,272.74,18.254,17.942
3335,101.399,50.259,9.881,86.468,77.83,206,70,266.77,18.272,17.877
3336,100.713,50.773,9.902,88.28,79.454,205,69,262.74,18.226,18.043
3337,101.162,51.625,9.926,94.001,87.125,205,68,259.49,18.256,18.253
3344,100.1,56.275,10.111,87.222,80.133,201,64,262.74,18.186,17.667
3345,100.62,57.13,10.139,85.616,77.868,201,63,254.44,18.22,17.65
3346,99.787,57.604,10.162,96.464,87.311,200,63,264.97,18.165,18.675
3354,98.898,62.956,10.395,95.725,89.079,195,57,277.86,18.106,18.408
3359,99.9,66.38,10.549,84.296,77.13,193,54,239.62,18.172,17.439
3360,101.424,66.72,10.554,91.369,84.578,192,54,261.71,18.274,18.006
3361,101.268,67.502,10.593,89.93,82.356,192,53,261.96,18.264,17.979
3364,105.324,68.73,10.633,82.893,75.266,191,52,260.26,18.534,17.411
3365,105.577,69.444,10.67,87.616,82.649,190,52,257.38,18.551,17.309
3366,107.525,69.665,10.674,92.968,88.257,190,52,257.38,18.681,17.894
3459,97.535,47.734,9.833,88.203,79.856,207,72,272.59,18.015,17.955
3461,98.388,49.111,9.868,98.179,89.666,206,70,266.77,18.071,18.754
3464,98.793,50.96,9.922,92.185,84.077,205,69,262.74,18.099,18.236
3465,99.196,51.79,9.945,91.188,82.843,204,68,271.15,18.125,18.188
3466,98.363,52.282,9.967,95.842,87.013,204,67,282.11,18.07,18.602
3473,98.266,57.277,10.163,89.9,80.819,200,63,264.97,18.063,18.187
3474,97.425,57.792,10.189,82.046,74.077,200,62,260.24,18.007,17.411
3475,98.04,58.589,10.212,84.248,76.879,199,61,276.96,18.048,17.471
3480,96.13,61.71,10.359,92.331,86.194,196,58,266.96,17.921,18.011
3481,96.923,62.576,10.393,91.48,84.984,196,58,266.96,17.974,17.974
3487,96.461,66.513,10.582,92.238,84.432,192,54,261.71,17.943,18.199
3488,97.966,66.87,10.587,92.262,84.461,192,54,261.71,18.043,18.201
3489,97.716,67.635,10.623,91.281,83.116,191,53,264.64,18.027,18.161
3490,99.496,67.929,10.625,94.35,86.283,191,53,264.64,18.145,18.401
3585,95.263,46.385,9.812,86.817,79.091,207,72,272.59,17.863,17.735
3586,95.95,46.86,9.82,97.204,89.808,207,72,272.59,17.909,18.594
3587,95.754,47.852,9.854,93.49,84.888,206,71,272.74,17.896,18.398
3588,96.628,48.282,9.858,92.457,83.847,206,71,272.74,17.954,18.321
3589,96.547,49.24,9.887,93.737,85.469,206,70,266.77,17.949,18.379
3590,97.419,49.666,9.892,93.828,85.564,206,70,266.77,18.007,18.386
3591,97.592,50.603,9.921,94.247,86.11,205,69,262.74,18.018,18.406
3592,96.857,51.135,9.948,86.668,79.539,204,68,271.15,17.969,17.618
3593,97.226,51.984,9.97,81.127,72.266,204,67,282.11,17.994,17.53
3594,96.361,52.419,9.989,91.119,81.56,204,67,282.11,17.936,18.367
3601,95.927,57.475,10.192,97.378,89.111,199,62,265.6,17.907,18.669
3602,95.043,57.972,10.219,90.63,83.442,199,62,265.6,17.849,17.984
3603,95.62,58.773,10.241,83.086,73.696,199,61,276.96,17.887,17.754
3604,94.645,59.184,10.261,85.488,75.886,198,60,282.37,17.822,17.96
3606,93.984,60.46,10.323,87.223,82.825,197,59,254.78,17.778,17.063
3607,94.437,61.344,10.36,83.718,77.723,196,58,266.96,17.808,17.133
3615,93.039,66.531,10.609,95.013,86.966,191,53,264.64,17.715,18.453
3616,94.478,66.942,10.616,95.313,87.28,191,53,264.64,17.811,18.477
3617,94.164,67.699,10.652,94.544,86.22,191,52,260.26,17.79,18.438
3618,95.901,68.036,10.654,93.093,84.733,190,52,257.38,17.906,18.326
3622,99.76,70.237,10.744,95.949,89.891,189,51,249.5,18.163,18.391
3623,99.38,71.076,10.791,92.847,85.549,188,50,249.76,18.137,18.198
3715,93.978,47.943,9.876,95.747,87.883,206,71,272.74,17.777,18.501
3716,94.828,48.389,9.881,84.227,76.198,206,71,272.74,17.834,17.587
3717,94.711,49.367,9.913,84.757,76.898,205,70,267.81,17.826,17.596
3718,95.557,49.788,9.915,86.445,78.627,205,69,262.74,17.883,17.725
3719,95.688,50.745,9.948,88.366,81.202,204,68,271.15,17.891,17.772
3720,94.921,51.278,9.978,87.373,80.348,204,68,271.15,17.84,17.658
3721,95.23,52.105,9.997,78.78,69.171,203,67,277.47,17.861,17.54
3722,94.398,52.599,10.024,60.156,52.283,203,66,290.55,17.806,15.853
3723,94.995,53.425,10.04,67.922,62.467,203,66,290.55,17.845,15.636
3724,94.435,53.973,10.069,82.621,73.713,202,65,269.34,17.808,17.639
3725,95.017,54.821,10.092,90.779,84.292,201,64,262.74,17.847,17.894
3726,94.081,55.353,10.125,90.891,84.386,201,64,262.74,17.784,17.907
3727,94.306,56.227,10.158,88.063,80.6,200,63,264.97,17.799,17.801
3728,93.23,56.725,10.191,85.39,78.267,199,63,264.67,17.727,17.513
3729,93.559,57.597,10.221,85.471,78.383,199,62,265.6,17.749,17.514
3730,92.622,58.099,10.252,89.958,82.12,198,61,273.94,17.687,18.014
3731,93.136,58.886,10.271,83.222,73.615,198,60,282.37,17.721,17.803
3732,92.18,59.368,10.3,65.445,58.341,197,60,267.72,17.658,16.001
3733,92.563,60.162,10.327,74.597,70.248,197,59,254.78,17.683,15.775
3734,91.377,60.709,10.369,88.401,81.283,196,59,278.31,17.604,17.777
3735,91.71,61.442,10.392,81.288,72.517,196,58,266.96,17.626,17.499
3736,90.583,61.893,10.421,82.741,73.753,195,57,277.86,17.551,17.642
3737,91.275,62.608,10.437,85.311,76.888,195,56,266.26,17.597,17.737
3738,90.273,63.09,10.468,82.631,74.795,194,56,276.19,17.531,17.43
